,praise_comment
90,温子仁，二代山姆·雷米正式达成！
91,黑蝠鲼刺杀小队滥轰意大利小镇刀刀见血，各色近身肉搏痛感十足，好评；但主角强大过头，即便密集恐惧海沟妖怪啥的也毫无紧迫感，再加上冗肿无聊的文戏剧情搭配温导的口水歌品味，有点尬；彩蛋预示了续集的名字：《海王2：主体思想的复仇》
92,视觉的确美爆了。同时也中二极了（in a good way）。小美人鱼喜欢拿了金箍棒的孙悟空，可以理解。但是为什么Patrick Wilson还这么年轻好看？我站王弟这边呢，他的纲领只要去掉吞并海底诸王国这条，就是对的。最爱深海沟里群怪围着一团红光那个画面。
93,8.5分，海王这种硬朗粗犷的风格好喜欢，能感觉到是一部精心打造的电影，摄影很棒，海底国度和人物动物造型都有浓浓的复古科幻风，非常喜欢，而且很衬那种“long live the King”的气场，原声贴合主题，没有一味强调气势，柔和中有力量。DC宇宙中，海王有点二，小闪是真萌，大超老爷相爱相杀，神奇女侠颜值担当，钢骨……额。
94,越来越感觉到，流行文化中的绝大部分，本质只是对经典与伟大作品的模仿和荟萃。不是说它们不好，而是如果我们浅尝辄止，停留于此，只会成为流行文化的奴仆。
95,Make Atlantis Great Again！
96,特效太惊艳了吧，海底大战这个气势恢弘完全不像投资1.3亿啊，各种恐怖电影梗真让人开心，湄拉的脸海王的脸奥姆的发际线真让人想舔，西西里岛配乐的电子游戏感真可爱！情节剧嘛不就是看个爽，还要啥人物弧光又不是拍艺术电影，过不过分嘛！
97,如果说前面还抱着去judge的态度，到海沟那部分就完全被视音效征服了，简直是商业之下的克苏鲁极致
98,面对马王我还能说啥，身材美丽的大牲口哟！！！嗯，而且他由于骑了海马，从马王升级为海马王了……女主很漂亮，就是她的礼服裙，脖领子那一串老醋蛰头让我有点出戏~
99,吹爆温子仁！文戏尴尬但是武戏太slay了完全不够看，还非常私心地加了几场jump scare。DC真人电影终于有翻身的一天了我爆哭
100,本来想打四星的，特效无敌了，很牛逼，但是剧情太老套，扣了一分，但是妮可基德曼的颜值又拉回来了，好吧，就五星了，推荐。
101,真是完完全全在给现有的电影工业做总结了，每一个环节的建构都是如此的传统
